station_name,line_name,direction,car_number,door_number,nearest_toilet_id
東京,JR山手線,内回り,1,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,2,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,3,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,4,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,5,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,6,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,7,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,8,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,9,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,10,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,内回り,11,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,1,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,2,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,3,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,4,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,5,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,6,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,7,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,8,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,9,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,10,1,1f173c4f-db0a-5765-a014-912865eb1f2b
東京,JR山手線,外回り,11,1,1f173c4f-db0a-5765-a014-912865eb1f2b
有楽町,JR山手線,内回り,1,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,2,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,3,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,4,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,5,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,6,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,7,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,8,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,9,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,10,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,内回り,11,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,外回り,1,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,外回り,2,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,外回り,3,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,外回り,4,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
有楽町,JR山手線,外回り,5,1,05756277-d5a3-577f-93f9-3502ba5e9b2e
