station_name,line_name,direction,car_number,door_number,nearest_toilet_id
東京,JR山手線,内回り,1,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,2,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,3,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,4,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,5,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,6,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,7,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,8,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,9,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,10,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,内回り,11,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,1,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,2,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,3,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,4,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,5,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,6,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,7,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,8,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,9,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,10,1,8102e036-048c-5d8d-baad-ab009fe50a13
東京,JR山手線,外回り,11,1,8102e036-048c-5d8d-baad-ab009fe50a13
有楽町,JR山手線,内回り,1,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,2,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,3,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,4,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,5,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,6,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,7,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,8,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,9,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,10,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,内回り,11,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,1,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,2,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,3,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,4,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,5,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,6,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,7,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,8,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,9,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,10,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
有楽町,JR山手線,外回り,11,1,8655078f-9dc5-5c8f-98b9-9ed1b28ae76e
新橋,JR山手線,内回り,1,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,2,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,3,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,4,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,5,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,6,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,7,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,8,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,9,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,10,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,内回り,11,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,1,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,2,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,3,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,4,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,5,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,6,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,7,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,8,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,9,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,10,1,7a540aa5-746f-539b-991c-8cd38542a03b
新橋,JR山手線,外回り,11,1,7a540aa5-746f-539b-991c-8cd38542a03b
浜松町,JR山手線,内回り,1,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,2,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,3,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,4,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,5,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,6,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,7,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,8,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,9,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,10,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,内回り,11,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,1,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,2,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,3,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,4,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,5,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,6,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,7,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,8,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,9,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,10,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
浜松町,JR山手線,外回り,11,1,996f23d4-4aba-524e-a84b-bc0cf7fe82e8
田町,JR山手線,内回り,1,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,2,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,3,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,4,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,5,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,6,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,7,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,8,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,9,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,10,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,内回り,11,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,外回り,1,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,外回り,2,1,52541081-951b-55ac-a541-e0d9e3902b5b
田町,JR山手線,外回り,3,1,52541081-951b-55ac-a541-e0d9e3902b5b
