station_name,toilet_name,lat,lon,wheelchair,baby,ostomate,note
新宿,代々木二丁目あおい公園,35.6870625,139.6963374,○,,○,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (0階),35.6895587,139.7015356,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-1階),35.6899011,139.7015691,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-1階),35.69218,139.6988158,○,○,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-1階),35.6880927,139.6976779,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-1階),35.6874127,139.7022483,,○,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-1階),35.6878704,139.6973328,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ,35.6886984,139.7004606,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ,35.6904483,139.6989463,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (1階),35.6894982,139.6998854,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (1階),35.6895286,139.6998775,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (1階),35.6898727,139.7008515,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (1階),35.6898727,139.7009078,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-1階),35.6904462,139.699419,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (1階),35.6887251,139.7003428,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (1階),35.6887124,139.7004574,○,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (1階),35.688768,139.7004726,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-3階),35.6904524,139.6989524,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-3階),35.6904931,139.6989464,,,,OpenStreetMapデータ
新宿,新宿駅周辺のトイレ (-3階),35.6905313,139.6989429,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6832972,139.7613617,○,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ,35.6822174,139.7600563,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ (-2階),35.6836413,139.7625484,○,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ (-1階),35.6857488,139.7633789,○,○,,OpenStreetMapデータ
東京,東京駅周辺のトイレ (-3階),35.6778056,139.7643496,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ (-3階),35.6777091,139.7650001,,,,OpenStreetMapデータ
東京,東京駅周辺のトイレ (-1階),35.6823758,139.7662055,○,,,OpenStreetMapデータ
