toilet_id,station_name,floor,lat,lon,description,features
T_Tawaracho_G1,田原町,不明,0.0,0.0,1番線ホーム中央（渋谷方面行き）,
T_Tawaracho_G2,田原町,不明,0.0,0.0,2番線ホーム中央（浅草方面行き）,
T36f93280,上野,不明,0.0,0.0,ホーム中央階段,
T38cf7145,上野,不明,0.0,0.0,先頭のエレベーター,
Td175a416,東京,1F,0.0,0.0,東京駅付近のトイレ (-1階) / 車椅子OK,
f880c66a-869c-5c8d-bf09-3dea7ca66fd5,東京,不明,0.0,0.0,東京駅付近のトイレ,
Tb3a1128e,東京,不明,0.0,0.0,東京駅付近のトイレ / 車椅子OK,
T9b6c5df3,有楽町,不明,0.0,0.0,有楽町イトシア / 車椅子OK,
5015f0cb-3692-55e2-8580-4fab8f0dcdab,有楽町,不明,0.0,0.0,有楽町駅付近のトイレ,
aed1f12c-5cb8-59ae-81a4-7e9e55b83397,有楽町,1F,0.0,0.0,有楽町駅付近のトイレ (1階),
Tddbe1052,有楽町,不明,0.0,0.0,有楽町駅付近のトイレ / 車椅子OK / ベビーチェア,
a2af9ef9-0556-59d4-9080-998e9e546ea0,新橋,不明,0.0,0.0,元八通八橋際公衆便所,
19e8d037-31f9-5a14-9a84-825bbbd686e2,新橋,不明,0.0,0.0,新橋駅付近のトイレ,
T2d193f60,浜松町,不明,0.0,0.0,浜松町駅付近のトイレ / 車椅子OK,
52541081-951b-55ac-a541-e0d9e3902b5b,田町,不明,0.0,0.0,田町駅付近のトイレ (0階),
3d95166d-48cd-59c3-b161-23bc3402e76e,田町,不明,0.0,0.0,田町駅付近のトイレ,
T8d8236bd,田町,不明,0.0,0.0,田町駅付近のトイレ / 車椅子OK,
fdf630f6-96ca-595a-a7ec-d8c7ae6c0eb3,田町,1F,0.0,0.0,田町駅付近のトイレ (-1階),
821a2925-9302-5b9e-8ed7-caac5c2b2f3a,高輪ゲートウェイ,不明,0.0,0.0,高輪ゲートウェイ駅付近のトイレ,
T0efd9884,高輪ゲートウェイ,不明,0.0,0.0,高輪ゲートウェイ駅付近のトイレ / 車椅子OK,
T72db9fd0,品川,不明,0.0,0.0,品川駅トイレ(代表) / 車椅子OK / ベビーチェア,
T339bff25,大崎,不明,0.0,0.0,大崎駅付近のトイレ / 車椅子OK,
9e5cc8fe-435b-50f5-b543-113ca473b761,大崎,不明,0.0,0.0,大崎駅付近のトイレ,
Tf009d0d3,五反田,不明,0.0,0.0,五反田駅付近のトイレ (0階) / 車椅子OK / ベビーチェア,
T1796f28d,目黒,不明,0.0,0.0,目黒駅付近のトイレ (-3階) / 車椅子OK / ベビーチェア,
T03bb03ff,恵比寿,不明,0.0,0.0,恵比寿駅付近のトイレ / 車椅子OK / オストメイト,
T52900f6b,恵比寿,不明,0.0,0.0,恵比寿駅西口公衆便所 / 車椅子OK / ベビーチェア,
5050ae1c-680d-538f-b165-ef7665fe770d,恵比寿,不明,0.0,0.0,恵比寿駅東口公園,
T995bbfd4,恵比寿,不明,0.0,0.0,恵比寿東公園 / 車椅子OK / オストメイト / ベビーチェア,
T0d372d0f,恵比寿,不明,0.0,0.0,東三丁目公衆便所 / 車椅子OK / オストメイト,
Tf7db0932,渋谷,不明,0.0,0.0,渋谷駅付近のトイレ / 車椅子OK / ベビーチェア,
Td1e01e82,渋谷,不明,0.0,0.0,渋谷駅付近のトイレ (-2階) / 車椅子OK,
479f38c5-ef22-5b0b-b983-6c5841c95b63,渋谷,不明,0.0,0.0,渋谷駅付近のトイレ,
c4ba9ab6-cc28-52fe-a9c7-95bf47f99e20,渋谷,1F,0.0,0.0,渋谷駅付近のトイレ (1階),
903292e7-97bb-5a97-9340-5eecebe0ab40,渋谷,1F,0.0,0.0,南改札 (1階),
f9569624-8c86-551c-bcbf-e136b6b6f20c,渋谷,不明,0.0,0.0,渋谷駅付近のトイレ (2階),
Tea69262c,渋谷,1F,0.0,0.0,渋谷駅付近のトイレ (1階) / 車椅子OK,
T93655377,原宿,不明,0.0,0.0,原宿駅付近のトイレ / 車椅子OK,
2af30a29-f544-526b-9249-d3ef376660fa,原宿,不明,0.0,0.0,原宿駅付近のトイレ,
T4c85aeeb,原宿,不明,0.0,0.0,原宿駅付近のトイレ / ベビーチェア,
ba5bc063-b323-5b3e-b852-f995ca330721,代々木,不明,0.0,0.0,代々木駅付近のトイレ,
e9ccc27c-1070-55a8-bd5b-c6307fcf89af,代々木,不明,0.0,0.0,代々木駅付近のトイレ (0階),
Tc9a39572,代々木,不明,0.0,0.0,代々木みどり公園 / 車椅子OK / オストメイト,
T6530394c,新宿,不明,0.0,0.0,代々木二丁目あおい公園 / 車椅子OK / オストメイト,
b3fa053a-6ddf-5dea-a7a5-e3e38880e017,新宿,不明,0.0,0.0,新宿駅付近のトイレ (0階),
78567964-0865-591c-a3c6-790fc602600f,新宿,1F,0.0,0.0,新宿駅付近のトイレ (-1階),
744b487d-ade2-5545-9b54-2ad1a44b3529,新宿,不明,0.0,0.0,新宿駅付近のトイレ,
7bfdb581-1d97-5bb7-9e4a-e315eb69d1db,新宿,1F,0.0,0.0,新宿駅付近のトイレ (1階),
T6311b416,新宿,1F,0.0,0.0,新宿駅付近のトイレ (1階) / 車椅子OK,
29bfd5ae-e806-5941-a512-319c0ea3dc00,新宿,不明,0.0,0.0,新宿駅付近のトイレ (-3階),
84d8a51e-d973-5ee9-adbb-8f1149d038f1,新大久保,不明,0.0,0.0,新大久保駅付近のトイレ,
b256302b-2da7-5a95-8355-a66eeec92277,高田馬場,不明,0.0,0.0,高田馬場駅付近のトイレ,
T2de78a09,目白,1F,0.0,0.0,目白駅付近のトイレ (1階) / 車椅子OK / ベビーチェア,
b4ca922f-854c-5d41-8f18-cab7872fa5b8,目白,不明,0.0,0.0,目白駅付近のトイレ,
9bcf7da9-0371-502b-977e-19fd59968870,池袋,不明,0.0,0.0,池袋駅付近のトイレ,
53af699c-2036-5d87-a9f4-f0df9d50f6a4,池袋,1F,0.0,0.0,池袋駅付近のトイレ (-1階),
Tdbe02c56,池袋,不明,0.0,0.0,池袋駅付近のトイレ / 車椅子OK / ベビーチェア,
e0ec1f40-976e-5c7e-bd2a-5c819ecefc4f,大塚,不明,0.0,0.0,大塚駅付近のトイレ,
6a8c1708-8e20-51f9-ba68-726951829b5f,巣鴨,不明,0.0,0.0,巣鴨駅付近のトイレ,
270ba0cb-134b-5081-b8b4-7ebe0546c7af,巣鴨,不明,0.0,0.0,巣鴨駅前公衆便所,
eefc0bfb-9a9a-5cf8-87e6-bdf4832d80bf,駒込,不明,0.0,0.0,駒込駅付近のトイレ,
de05ec12-6183-5258-87d3-e734511a240a,駒込,不明,0.0,0.0,駒込駅付近のトイレ (0階),
c463d9ec-27e5-5fc6-ac73-eacaed1d9099,駒込,不明,0.0,0.0,駒込駅付近のトイレ (-2階),
3f63fb8c-ff4d-5237-8427-71f5614924bf,田端,不明,0.0,0.0,田端駅付近のトイレ,
